代码	状态	类型	到期日	收回价	街货量
51530	正常	熊	2020/02/27	28600.000	202M
61074	正常	牛	2020/10/29	24739.000	199M
51595	正常	熊	2020/02/27	28500.000	162M
51651	正常	熊	2020/04/28	28528.000	151M
66094	正常	熊	2020/04/28	27400.000	150M
53669	正常	牛	2021/11/29	25000.000	129M
53576	正常	牛	2021/11/29	25200.000	125M
56114	正常	熊	2020/03/30	29300.000	111M
53258	正常	熊	2020/04/28	28000.000	101M
58001	正常	牛	2020/12/30	24500.000	89.2M
69243	正常	牛	2020/11/27	23377.000	89M
51995	正常	熊	2020/01/30	28188.000	88.8M
66105	正常	熊	2020/03/30	27400.000	88.2M
60679	正常	牛	2022/10/28	26468.000	86.9M
58202	正常	熊	2020/04/28	30288.000	85.3M
64658	正常	牛	2021/11/29	26780.000	83.5M
59530	正常	熊	2019/11/28	29750.000	83.2M
53298	正常	牛	2021/10/28	25028.000	83M
66735	正常	熊	2020/04/28	27768.000	82.6M
55870	正常	熊	2020/03/30	27908.000	78.7M
61616	正常	牛	2021/09/29	26388.000	76M
66282	正常	熊	2020/02/27	27418.000	75.8M
67381	正常	牛	2020/11/27	23577.000	75.8M
55871	正常	熊	2020/03/30	28008.000	75M
66384	正常	熊	2020/03/30	27728.000	74.3M
63465	正常	牛	2020/12/30	24037.000	73.9M
69201	正常	牛	2020/10/29	24339.000	72.2M
66313	正常	熊	2020/03/30	27500.000	70.8M
66581	正常	熊	2020/06/29	27500.000	66.6M
66306	正常	熊	2020/03/30	27400.000	64.5M
66716	正常	熊	2020/04/28	27408.000	62.5M
57433	正常	牛	2021/11/29	26048.000	60M
69255	正常	牛	2020/12/30	22537.000	50.3M
55090	正常	牛	2021/11/29	25500.000	49.9M
67402	正常	熊	2020/02/27	27548.000	48.3M
66161	正常	熊	2020/03/30	27388.000	47.4M
52023	正常	熊	2019/12/30	28107.000	47.3M
61194	正常	牛	2021/10/28	26478.000	44.7M
61883	正常	牛	2021/12/30	26550.000	43.6M
53889	正常	牛	2021/04/29	25010.000	43.4M
60155	正常	牛	2021/11/29	26458.000	42.6M
52246	正常	熊	2020/01/30	27988.000	41.8M
57170	正常	牛	2021/11/29	25858.000	40.9M
50660	正常	熊	2020/02/27	29600.000	40.6M
62803	正常	牛	2019/12/30	24898.000	40.5M
66850	正常	熊	2020/03/30	27438.000	40.3M
57619	正常	熊	2019/11/28	30658.000	38.7M
52179	正常	熊	2020/02/27	28000.000	38.1M
54495	正常	牛	2021/11/29	25358.000	37.3M
51618	正常	熊	2019/12/30	28372.000	37.3M
55872	正常	熊	2020/03/30	28168.000	36.6M
51396	正常	熊	2020/02/27	28858.000	36.4M
63749	正常	牛	2021/09/29	26588.000	36.1M
62299	正常	牛	2022/01/28	26600.000	35.3M
54622	正常	牛	2020/09/29	25498.000	35.1M
58896	正常	牛	2021/11/29	26100.000	34M
50672	正常	熊	2019/12/30	28888.000	33.3M
53570	正常	牛	2021/09/29	25200.000	32.1M
63202	正常	牛	2021/10/28	26600.000	31.3M
63586	正常	牛	2021/12/30	26700.000	30.7M
52106	正常	熊	2020/02/27	27938.000	30.4M
63626	正常	牛	2021/09/29	26700.000	30.4M
52099	正常	熊	2020/04/28	28288.000	30.3M
53715	正常	牛	2021/09/29	25200.000	28.2M
63471	正常	牛	2021/11/29	26688.000	27.5M
66369	正常	牛	2020/09/29	24700.000	27.1M
66579	正常	熊	2020/03/30	27388.000	26.9M
57354	正常	牛	2021/11/29	25969.000	26.6M
53625	正常	牛	2021/10/28	24500.000	26.4M
55839	正常	熊	2020/05/28	28000.000	25.6M
67049	正常	牛	2020/11/27	24377.000	25.4M
59130	正常	牛	2021/11/29	26100.000	24.7M
53891	正常	牛	2021/04/29	23710.000	24M
54452	正常	牛	2021/04/29	23510.000	24M
51897	正常	熊	2019/12/30	28088.000	24M
51904	正常	熊	2019/12/30	28100.000	23.6M
53716	正常	牛	2021/09/29	25000.000	23.6M
56240	正常	熊	2020/03/30	28000.000	23.4M
52223	正常	熊	2020/02/27	27988.000	23.1M
52086	正常	熊	2020/02/27	27948.000	22.9M
53499	正常	牛	2021/12/30	23950.000	22.4M
53607	正常	牛	2021/11/29	25168.000	21.9M
54863	正常	牛	2021/11/29	25468.000	21.9M
69028	正常	牛	2020/11/27	24800.000	21.5M
61311	正常	牛	2021/11/29	26338.000	21.4M
66296	正常	熊	2020/02/27	27718.000	21.4M
54238	正常	牛	2021/12/30	25300.000	21M
57226	正常	牛	2021/12/30	25908.000	20.9M
51299	正常	熊	2020/02/27	29200.000	20.8M
60446	正常	牛	2021/12/30	26478.000	20.7M
56852	正常	牛	2021/11/29	25418.000	20.7M
52097	正常	熊	2020/01/30	27978.000	20.4M
57490	正常	牛	2021/11/29	26090.000	20.2M
59100	正常	牛	2020/12/30	25898.000	19.5M
60445	正常	牛	2021/10/28	26400.000	19.4M
54728	正常	牛	2021/10/28	25500.000	19.3M
65057	正常	牛	2020/11/27	24400.000	19.3M
56075	正常	熊	2020/02/27	28088.000	19M
57828	正常	熊	2019/12/30	33188.000	18.7M
51981	正常	熊	2020/01/30	28057.000	18.1M
56493	正常	熊	2020/01/30	27950.000	17.8M
54825	正常	牛	2021/10/28	25400.000	17.8M
50518	正常	熊	2019/12/30	28900.000	17.6M
51919	正常	熊	2019/11/28	28250.000	17.5M
57894	正常	牛	2020/12/30	25698.000	17.1M
57169	正常	牛	2020/12/30	25798.000	16.8M
64739	正常	牛	2021/10/28	26678.000	16.6M
54122	正常	牛	2020/09/29	25098.000	16.6M
52216	正常	熊	2019/12/30	28028.000	16.6M
53011	正常	牛	2021/11/29	24508.000	16.5M
67839	正常	牛	2020/11/27	24248.000	16.5M
62813	正常	牛	2021/09/29	26548.000	15.9M
51939	正常	熊	2019/12/30	28100.000	15.8M
51900	正常	熊	2020/01/30	28488.000	15.6M
64561	正常	牛	2021/09/29	26708.000	15.3M
55840	正常	熊	2020/02/27	28178.000	15M
52515	正常	牛	2021/02/25	24820.000	15M
51465	正常	熊	2019/12/30	28800.000	14.8M
52207	正常	熊	2019/12/30	28038.000	14.4M
52061	正常	熊	2020/01/30	28388.000	14.3M
51993	正常	熊	2020/02/27	28107.000	14.2M
64997	正常	牛	2022/10/28	26718.000	14.2M
53686	正常	牛	2020/09/29	25198.000	14.1M
60878	正常	牛	2020/12/30	26398.000	14M
50020	正常	熊	2019/12/30	30038.000	14M
60838	正常	牛	2021/10/28	26208.000	13.8M
53770	正常	牛	2021/10/28	25218.000	13.5M
60161	正常	牛	2021/11/29	26400.000	13.5M
59587	正常	牛	2021/12/30	26208.000	13.4M
54511	正常	牛	2021/10/28	25438.000	13.3M
62419	正常	牛	2021/08/30	26508.000	13.2M
61305	正常	牛	2020/12/30	24577.000	12.9M
54482	正常	牛	2020/09/29	25298.000	12.9M
50843	正常	熊	2020/01/30	29000.000	12.9M
63797	正常	牛	2021/03/30	26698.000	12.8M
65218	正常	牛	2022/01/28	26738.000	12.6M
51955	正常	熊	2019/12/30	28208.000	12.2M
54436	正常	牛	2021/12/30	25300.000	12.1M
59187	正常	牛	2020/12/30	26308.000	11.9M
51940	正常	熊	2020/01/30	28200.000	11.7M
52164	正常	熊	2020/01/30	28050.000	11.6M
52572	正常	牛	2021/11/29	24728.000	11.3M
60178	正常	牛	2022/01/28	26400.000	11.3M
66484	正常	熊	2020/02/27	27450.000	11.2M
64317	正常	牛	2021/09/29	26678.000	11.1M
57499	正常	牛	2021/08/30	25868.000	11M
55113	正常	牛	2021/12/30	25200.000	11M
57351	正常	牛	2021/11/29	25700.000	10.8M
66119	正常	熊	2020/03/30	27658.000	10.8M
52166	正常	熊	2020/01/30	28250.000	10.8M
65280	正常	牛	2021/12/30	26768.000	10.8M
50592	正常	熊	2020/02/27	29358.000	10.6M
69202	正常	牛	2020/11/27	24177.000	10.5M
63137	正常	牛	2021/11/29	26535.000	10.2M
63131	正常	牛	2021/11/29	26600.000	10.2M
59685	正常	牛	2021/12/30	26308.000	10.2M
59642	正常	牛	2021/10/28	25800.000	10.2M
51586	正常	熊	2019/12/30	28400.000	10.1M
53354	正常	牛	2021/03/30	24910.000	10.1M
54020	正常	牛	2021/11/29	25228.000	10.1M
53608	正常	牛	2021/11/29	24888.000	10M
58087	正常	熊	2019/12/30	30588.000	9.97M
51622	正常	熊	2020/02/27	28372.000	9.86M
56016	正常	熊	2020/01/30	27928.000	9.64M
63881	正常	牛	2021/11/29	26508.000	9.22M
57310	正常	牛	2021/10/28	25878.000	9.1M
61207	正常	牛	2021/11/29	25800.000	9.1M
63399	正常	牛	2021/03/30	26498.000	8.98M
63876	正常	牛	2021/10/28	26658.000	8.98M
63110	正常	牛	2021/11/29	26500.000	8.95M
60867	正常	熊	2020/03/30	28538.000	8.76M
51469	正常	熊	2019/12/30	28688.000	8.75M
64703	正常	牛	2021/12/30	26750.000	8.75M
61304	正常	熊	2020/03/30	28038.000	8.68M
63961	正常	牛	2022/01/28	26608.000	8.45M
54510	正常	牛	2021/10/28	25300.000	8.42M
51257	正常	熊	2020/01/30	29738.000	8.35M
54719	正常	牛	2020/09/29	25398.000	8.3M
61932	正常	熊	2020/03/30	28038.000	8.3M
66486	正常	熊	2020/02/27	27700.000	8.08M
51505	正常	熊	2020/02/27	29158.000	8M
61319	正常	牛	2021/11/29	26218.000	7.98M
53319	正常	牛	2021/09/29	24900.000	7.92M
64943	正常	熊	2019/11/28	29108.000	7.9M
51925	正常	熊	2019/12/30	28200.000	7.83M
58897	正常	牛	2021/11/29	26000.000	7.72M
50742	正常	熊	2019/12/30	29000.000	7.7M
65380	正常	牛	2021/12/30	26700.000	7.6M
51876	正常	熊	2020/01/30	28398.000	7.5M
63776	正常	牛	2022/11/29	26668.000	7.4M
51924	正常	熊	2019/12/30	28100.000	7.38M
52139	正常	熊	2020/02/27	28690.000	7.32M
57162	正常	牛	2022/10/28	25969.000	7.3M
63048	正常	牛	2021/08/30	26528.000	7.22M
67055	正常	熊	2020/02/27	27548.000	7.12M
51941	正常	熊	2020/02/27	28300.000	7.1M
64570	正常	牛	2022/10/28	26768.000	7.1M
65394	正常	牛	2021/10/28	26658.000	7.08M
62331	正常	牛	2020/10/29	24600.000	7.02M
68994	正常	熊	2019/12/30	29188.000	7.02M
62723	正常	牛	2022/01/28	26500.000	7.02M
52150	正常	熊	2019/12/30	28000.000	6.84M
51938	正常	熊	2019/11/28	28057.000	6.8M
59047	正常	牛	2021/11/29	26200.000	6.78M
52165	正常	熊	2020/01/30	28150.000	6.7M
50856	正常	熊	2020/01/30	29128.000	6.62M
65183	正常	熊	2020/04/28	30188.000	6.42M
66258	正常	熊	2020/04/28	27500.000	6.35M
51500	正常	熊	2020/02/27	28800.000	6.34M
51597	正常	熊	2020/02/27	28778.000	6.12M
60971	正常	牛	2021/10/28	26378.000	6.12M
52098	正常	熊	2019/12/30	28138.000	6.1M
66916	正常	熊	2020/04/28	27600.000	6.05M
56113	正常	熊	2020/03/30	29100.000	5.98M
58836	正常	牛	2021/11/29	26200.000	5.98M
52195	正常	熊	2019/12/30	27938.000	5.94M
60129	正常	熊	2020/03/30	28838.000	5.9M
59687	正常	牛	2022/01/28	26308.000	5.84M
59888	正常	牛	2022/10/28	26308.000	5.82M
63547	正常	牛	2021/10/28	26578.000	5.82M
63990	正常	牛	2022/01/28	26748.000	5.78M
52087	正常	熊	2020/01/30	28048.000	5.66M
56074	正常	熊	2020/02/27	27968.000	5.65M
51466	正常	熊	2019/12/30	28550.000	5.4M
67165	正常	熊	2019/12/30	32000.000	5.36M
66694	正常	熊	2020/02/27	27568.000	5.32M
65832	正常	熊	2020/02/27	27900.000	5.28M
62615	正常	牛	2021/11/29	26400.000	5.22M
52337	正常	熊	2019/12/30	27938.000	5.1M
50747	正常	熊	2019/12/30	28988.000	5.1M
58806	正常	牛	2021/04/29	26110.000	5.08M
58866	正常	熊	2020/04/28	30088.000	5.02M
54648	正常	牛	2021/10/28	25268.000	5.02M
63818	正常	牛	2022/01/28	26777.000	5.02M
51255	正常	熊	2019/12/30	29538.000	5.01M
54475	正常	牛	2021/10/28	25318.000	5M
59070	正常	牛	2021/10/28	26000.000	4.98M
51686	正常	熊	2019/12/30	28600.000	4.98M
61257	正常	牛	2022/10/28	26218.000	4.9M
53497	正常	牛	2021/12/30	24788.000	4.88M
57347	正常	牛	2022/10/28	26110.000	4.86M
51587	正常	熊	2019/12/30	28500.000	4.85M
51906	正常	熊	2019/12/30	28300.000	4.78M
52489	正常	牛	2020/09/29	24748.000	4.73M
65104	正常	牛	2020/12/30	24337.000	4.62M
60122	正常	牛	2020/12/30	26198.000	4.57M
61066	正常	牛	2021/10/28	26408.000	4.55M
59935	正常	牛	2020/11/27	24750.000	4.54M
62909	正常	牛	2022/01/28	26550.000	4.51M
60613	正常	牛	2021/11/29	25850.000	4.5M
66780	正常	熊	2020/04/28	28508.000	4.42M
